"Nama Obat: Sanmol | Kekuatan: 500 mg | Kandungan: Paracetamol | Tipe: Bermerek | Fungsi: Meredakan nyeri ringan hingga sedang seperti sakit kepala, sakit gigi, dan menurunkan demam","{""nama_obat"": ""Sanmol"", ""kekuatan_obat"": ""500 mg"", ""kandungan"": ""Paracetamol"", ""tipe"": ""Bermerek"", ""fungsi"": ""Meredakan nyeri ringan hingga sedang seperti sakit kepala, sakit gigi, dan menurunkan demam""}"
"Nama Obat: Sanmol Forte | Kekuatan: 650 mg | Kandungan: Paracetamol | Tipe: Bermerek | Fungsi: Meringankan rasa sakit pada keadaan sakit kepala, sakit gigi, dan menurunkan demam","{""nama_obat"": ""Sanmol Forte"", ""kekuatan_obat"": ""650 mg"", ""kandungan"": ""Paracetamol"", ""tipe"": ""Bermerek"", ""fungsi"": ""Meringankan rasa sakit pada keadaan sakit kepala, sakit gigi, dan menurunkan demam""}"
"Nama Obat: Sanmol Sirup | Kekuatan: 120 mg/5 ml | Kandungan: Paracetamol | Tipe: Bermerek | Fungsi: Meringankan rasa sakit pada keadaan sakit kepala, sakit gigi, dan menurunkan demam","{""nama_obat"": ""Sanmol Sirup"", ""kekuatan_obat"": ""120 mg/5 ml"", ""kandungan"": ""Paracetamol"", ""tipe"": ""Bermerek"", ""fungsi"": ""Meringankan rasa sakit pada keadaan sakit kepala, sakit gigi, dan menurunkan demam""}"
"Nama Obat: Ponstan FCT | Kekuatan: 500 mg | Kandungan: Asam Mefenamat | Tipe: Bermerek | Fungsi: Meredakan nyeri sendi, sakit kepala, sakit gigi, atau nyeri haid","{""nama_obat"": ""Ponstan FCT"", ""kekuatan_obat"": ""500 mg"", ""kandungan"": ""Asam Mefenamat"", ""tipe"": ""Bermerek"", ""fungsi"": ""Meredakan nyeri sendi, sakit kepala, sakit gigi, atau nyeri haid""}"
"Nama Obat: Proris Kaplet | Kekuatan: 200 mg | Kandungan: Ibuprofen | Tipe: Bermerek | Fungsi: Meredakan demam dan nyeri termasuk sakit kepala, nyeri haid, dan nyeri radang sendi","{""nama_obat"": ""Proris Kaplet"", ""kekuatan_obat"": ""200 mg"", ""kandungan"": ""Ibuprofen"", ""tipe"": ""Bermerek"", ""fungsi"": ""Meredakan demam dan nyeri termasuk sakit kepala, nyeri haid, dan nyeri radang sendi""}"
"Nama Obat: Proris Suspensi | Kekuatan: 100 mg/5 ml | Kandungan: Ibuprofen | Tipe: Bermerek | Fungsi: Menurunkan demam pada anak-anak dan meringankan nyeri ringan hingga sedang","{""nama_obat"": ""Proris Suspensi"", ""kekuatan_obat"": ""100 mg/5 ml"", ""kandungan"": ""Ibuprofen"", ""tipe"": ""Bermerek"", ""fungsi"": ""Menurunkan demam pada anak-anak dan meringankan nyeri ringan hingga sedang""}"
"Nama Obat: Proris Forte Suspensi | Kekuatan: 200 mg/5 ml | Kandungan: Ibuprofen | Tipe: Bermerek | Fungsi: Meredakan demam pada anak-anak serta meringankan nyeri ringan hingga sedang","{""nama_obat"": ""Proris Forte Suspensi"", ""kekuatan_obat"": ""200 mg/5 ml"", ""kandungan"": ""Ibuprofen"", ""tipe"": ""Bermerek"", ""fungsi"": ""Meredakan demam pada anak-anak serta meringankan nyeri ringan hingga sedang""}"
"Nama Obat: Proris Suppositoria | Kekuatan: 125 mg | Kandungan: Ibuprofen | Tipe: Bermerek | Fungsi: Menurunkan demam pada anak-anak dan meredakan nyeri ringan hingga sedang","{""nama_obat"": ""Proris Suppositoria"", ""kekuatan_obat"": ""125 mg"", ""kandungan"": ""Ibuprofen"", ""tipe"": ""Bermerek"", ""fungsi"": ""Menurunkan demam pada anak-anak dan meredakan nyeri ringan hingga sedang""}"
"Nama Obat: Promag Tablet | Kekuatan: 200 mg / 150 mg / 50 mg | Kandungan: Hydrotalcite, Magnesium Hydroxide, Simethicone | Tipe: Bermerek | Fungsi: Meringankan gejala yang berhubungan dengan kelebihan asam lambung, gastritis, tukak lambung","{""nama_obat"": ""Promag Tablet"", ""kekuatan_obat"": ""200 mg / 150 mg / 50 mg"", ""kandungan"": ""Hydrotalcite, Magnesium Hydroxide, Simethicone"", ""tipe"": ""Bermerek"", ""fungsi"": ""Meringankan gejala yang berhubungan dengan kelebihan asam lambung, gastritis, tukak lambung""}"
"Nama Obat: Promag Forte | Kekuatan: 10 mg / 800 mg / 165 mg | Kandungan: Famotidine, Calcium Carbonate, Magnesium Hidroksida | Tipe: Bermerek | Fungsi: Mengurangi sakit maag dan gejala kelebihan asam lambung yang tidak dapat diatasi dengan antasida saja","{""nama_obat"": ""Promag Forte"", ""kekuatan_obat"": ""10 mg / 800 mg / 165 mg"", ""kandungan"": ""Famotidine, Calcium Carbonate, Magnesium Hidroksida"", ""tipe"": ""Bermerek"", ""fungsi"": ""Mengurangi sakit maag dan gejala kelebihan asam lambung yang tidak dapat diatasi dengan antasida saja""}"
"Nama Obat: Promag Suspensi | Kekuatan: Standar | Kandungan: Hydrotalcite, Magnesium Hydroxide, Simethicone | Tipe: Bermerek | Fungsi: Meredakan gejala sakit maag akibat kelebihan asam lambung seperti mual dan nyeri ulu hati","{""nama_obat"": ""Promag Suspensi"", ""kekuatan_obat"": ""Standar"", ""kandungan"": ""Hydrotalcite, Magnesium Hydroxide, Simethicone"", ""tipe"": ""Bermerek"", ""fungsi"": ""Meredakan gejala sakit maag akibat kelebihan asam lambung seperti mual dan nyeri ulu hati""}"
"Nama Obat: Promag Herbal | Kekuatan: 15 ml | Kandungan: Jahe merah, adas, peppermint, akar manis, kunyit, royal jelly, madu | Tipe: Bermerek | Fungsi: Meredakan perut kembung","{""nama_obat"": ""Promag Herbal"", ""kekuatan_obat"": ""15 ml"", ""kandungan"": ""Jahe merah, adas, peppermint, akar manis, kunyit, royal jelly, madu"", ""tipe"": ""Bermerek"", ""fungsi"": ""Meredakan perut kembung""}"
"Nama Obat: Imboost | Kekuatan: Standar | Kandungan: Echinacea, Zinc Picolinate | Tipe: Bermerek | Fungsi: Membantu memelihara daya tahan tubuh","{""nama_obat"": ""Imboost"", ""kekuatan_obat"": ""Standar"", ""kandungan"": ""Echinacea, Zinc Picolinate"", ""tipe"": ""Bermerek"", ""fungsi"": ""Membantu memelihara daya tahan tubuh""}"
"Nama Obat: Neurobion | Kekuatan: Standar | Kandungan: Vitamin B1, B6, B12 | Tipe: Bermerek | Fungsi: Pencegahan dan pengobatan gejala akibat kekurangan vitamin neurotropik","{""nama_obat"": ""Neurobion"", ""kekuatan_obat"": ""Standar"", ""kandungan"": ""Vitamin B1, B6, B12"", ""tipe"": ""Bermerek"", ""fungsi"": ""Pencegahan dan pengobatan gejala akibat kekurangan vitamin neurotropik""}"
"Nama Obat: Curcuma Forte | Kekuatan: Standar | Kandungan: Ekstrak temulawak (Curcuma xanthorrhiza) | Tipe: Bermerek | Fungsi: Menjaga fungsi hati dan membantu meningkatkan nafsu makan","{""nama_obat"": ""Curcuma Forte"", ""kekuatan_obat"": ""Standar"", ""kandungan"": ""Ekstrak temulawak (Curcuma xanthorrhiza)"", ""tipe"": ""Bermerek"", ""fungsi"": ""Menjaga fungsi hati dan membantu meningkatkan nafsu makan""}"
"Nama Obat: Stimuno | Kekuatan: Standar | Kandungan: Ekstrak meniran hijau (Phyllanthus niruri) | Tipe: Bermerek | Fungsi: Membantu meningkatkan sistem imun tubuh (imunomodulator)","{""nama_obat"": ""Stimuno"", ""kekuatan_obat"": ""Standar"", ""kandungan"": ""Ekstrak meniran hijau (Phyllanthus niruri)"", ""tipe"": ""Bermerek"", ""fungsi"": ""Membantu meningkatkan sistem imun tubuh (imunomodulator)""}"
